size,thread_num,time
14,1,0.007477283477783203
14,2,0.0028488636016845703
14,4,0.004971981048583984
14,6,0.007815361022949219
14,8,0.009033203125
14,10,0.011791706085205078
14,12,0.013011932373046875
14,14,0.014700174331665039
100,1,0.0020570755004882812
100,2,0.0035660266876220703
100,4,0.005012989044189453
100,6,0.0076787471771240234
100,8,0.008942365646362305
100,10,0.011584281921386719
100,12,0.01230931282043457
100,14,0.013949871063232422
1000,1,0.06340456008911133
1000,2,0.01929640769958496
1000,4,0.009294509887695312
1000,6,0.011611461639404297
1000,8,0.010833740234375
1000,10,0.013814210891723633
1000,12,0.018546581268310547
1000,14,0.024655818939208984
10000,1,6.471785306930542
10000,2,1.8978455066680908
10000,4,0.4798750877380371
10000,6,0.25873827934265137
10000,8,0.17149806022644043
10000,10,0.12995696067810059
10000,12,0.10232710838317871
10000,14,0.11702728271484375
10000,1,6.603073596954346
10000,2,1.9790921211242676
10000,4,0.5247921943664551
10000,6,0.27947139739990234
10000,8,0.17930030822753906
10000,10,0.12624573707580566
10000,12,0.12204384803771973
10000,14,0.1146996021270752
