round_id,trainning_samples,global_model_acc,clients
0,36000,0.7749000191688538,"['2', '1', '4']"
1,36000,0.9502000212669373,"['1', '4', '2']"
2,48000,0.9684000015258789,"['4', '3', '2', '1']"
3,48000,0.9735999703407288,"['1', '4', '3', '2']"
4,48000,0.9793000221252441,"['5', '3', '4', '2']"
5,48000,0.9812999963760376,"['5', '3', '1', '4']"
6,48000,0.9811999797821045,"['2', '4', '5', '1']"
7,48000,0.9839000105857849,"['2', '3', '1', '4']"
8,48000,0.9835000038146973,"['5', '2', '1', '4']"
9,48000,0.9850000143051147,"['2', '3', '5', '1']"
10,48000,0.9864000082015991,"['4', '1', '5', '2']"
11,48000,0.9865999817848206,"['1', '5', '4', '3']"
12,48000,0.9865999817848206,"['2', '4', '3', '5']"
13,48000,0.9854000210762024,"['3', '4', '2', '5']"
14,48000,0.9864000082015991,"['1', '4', '2', '3']"
15,48000,0.9865000247955322,"['5', '3', '1', '4']"
16,48000,0.9876000285148621,"['3', '1', '4', '5']"
17,48000,0.9879999756813049,"['1', '5', '3', '2']"
18,48000,0.9879000186920166,"['1', '5', '3', '2']"
19,48000,0.9878000020980835,"['4', '2', '1', '5']"
